stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
R16,Times Sq-42 St,40.754672,-73.986754,1,
A27,42 St-Port Authority Bus Terminal,40.757308,-73.989735,1,
127,Times Sq-42 St,40.755290,-73.987495,1,
725,Times Sq-42 St,40.755477,-73.987691,1,
902,Times Sq-42 St,40.755983,-73.986229,1,
R19,23 St,40.741303,-73.989344,1,
A30,23 St,40.745906,-73.998041,1,
D18,23 St,40.742878,-73.992821,1,
130,23 St,40.744081,-73.995657,1,
634,23 St-Baruch College,40.739864,-73.986599,1,
R20,14 St-Union Sq,40.735736,-73.990568,1,
L03,14 St-Union Sq,40.734789,-73.990730,1,
635,14 St-Union Sq,40.734673,-73.989951,1,
R17,34 St-Herald Sq,40.749567,-73.987950,1,
D17,34 St-Herald Sq,40.749719,-73.987823,1,
A28,34 St-Penn Station,40.752287,-73.993391,1,
128,34 St-Penn Station,40.750373,-73.991057,1,
